text,label,label_num,text_cleansing
Kunjungan Prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto,Sumber Daya Alam,7,kunjungan prabowo ini untuk meresmikan proyek bantuan air bersih di lima titik prabowo subianto
RT Anies dapat tepuk tangan meriah saat jadi Rektor mewajibkan mata kuliah anti-korupsi untuk memutus mata rantai korupsi.. #AminMiskinkanKoruptor https://t.co/hgXsoQGaEa [RE ekowboy2],Politik,5,anies dapat tepuk tangan meriah saat jadi rektor mewajibkan mata kuliah untuk memutus mata rantai korupsi HTTPURL ekowboy 2
"@CIqXqwGAT04tMtx4OCATxjoVq7vv/Y8HeYaIOgMFg8Y= memang benar sih, pendukung 01 ada yang goblok, begitu juga dg pendukung 02.. hanya saja menurut pak Ridwan Kamil skemanya terbalik, kalau 01 MAYORITAS PENDIDIKAN MENENGAH ATAS (artinya ada juga pendidikan rendah yang milih",Demografi,0,@USER y8heyaiogmfg8y memang benar sih pendukung 01 ada goblok begitu juga dg pendukung 02 hanya saja menurut pak ridwan kamil kalau 01 mayoritas pendidikan menengah atas artinya ada juga pendidikan rendah milih
"RT @L3R8XFBw3WGbxRPSj0/0hHZTbqVGX7qtfwRg9zmhK7Q= Sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua, giliran skrg gibran yang menyebalkan dan sok kritis bahkan dianggap kritis dan keras. Apakah ini tidak standar ganda? Ã°ÂŸÂ¤Â­ [RE coldthem]",Politik,5,@USER 0hhztbqvgx7qtfwrg9zmhk7q sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua giliran skrg gibran menyebalkan sok kritis bahkan dianggap kritis keras apakah ini tidak standar ganda ã âÿâ â coldthem
Anies Baswedan Harap ASN termasuk TNI dan Polri Pegang Sumpahnya dalam Pemilu https://t.co/QRQZ3wI8YP,Politik,5,anies baswedan harap asn termasuk tni polri pegang dalam pemilu HTTPURL
"RT Duh jangan sampai Pak lurah denger ini Ã°ÂŸÂ¤Â­ Di Acara Hajatan Rakyat, Puluhan Ribu Warga di Kendal Serukan Ã¢Â€ÂœGanjar PresidenÃ¢Â€Â_x009d_ Kehadiran @0Zdeh9QcTWu+z+fS3hRaTcFuSLRh56REFyRLq4/Jdlc= menjadi magnet bagi puluhan ribu warga untuk datang menghadiri Hajatan Rakyat Ganjar-Mahfud. Besarnya antusiasme warga menjadi bukti bahwa Jawa Tengah tetap menjadi kandang banteng. #GanjarMahfud2024 #TabrakProfMahfud [RE DS_yantie]",Politik,5,duh jangan sampai pak lurah denger ini ã âÿâ â di acara hajatan rakyat puluhan ribu warga di kendal ã â âœganjar presidenã â kehadiran @USER z fs3hratcfuslrh56refyrlq4 jdlc menjadi bagi puluhan ribu warga untuk datang menghadiri hajatan rakyat besarnya antusiasme warga menjadi bukti bahwa jawa tengah tetap menjadi banteng
Prabowo minta Kemenhan dan Tim Satgas Air Unhan kaji bantuan air di Sukabumi. dekade08 Prabowo - Gibran,Pertahanan dan Keamanan,4,prabowo minta kemenhan tim satgas air unhan kaji bantuan air di sukabumi 08 prabowo gibran
RT Anies: Ya Allah Sibukkanlah Orang Zalim Agar Dapat Kejahatan dari Orang Zalim Lainnya https://t.co/1VK6BWKu2s [RE OposisiCerdas],Politik,5,anies ya allah sibukkanlah orang zalim agar dapat kejahatan dari orang zalim lainnya HTTPURL oposisicerdas
"RT Abah @znOMP7ZMVU9dMuMNA/cIazC9q5+hgwVkTsQNdQLKgTc= itu bapa kami, bapa yang berikan perhatian untuk pendidikan anak anak Papua jadi pintar pintar. Gerakan Indonesia mengajar tidak bisa di lupakan sama warga Papua. Kami ingin bapa Anies jadi Presiden. https://t.co/FCdf6J1L3Z [RE LANGKAHANIES]",Politik,5,abah @USER ciazc 9q5 hgwvktsqndqlkgtc itu bapa kami bapa berikan perhatian untuk pendidikan anak anak papua jadi pintar pintar gerakan indonesia mengajar tidak bisa di lupakan sama warga papua kami ingin bapa anies jadi presiden HTTPURL langkahanies
"RT Bawaslu dimaki ""JANCUK"" sama warga garaÃ‚Â² mencopot spanduk Ganjar Mahfud, sementara spanduk Capres lain tidak dicopot. Bawaslu rasa tim sukses. Ã°ÂŸÂ˜Âª #AsalBukanPrabowo #OrdeBaruReborn https://t.co/AcubW2OFlq [RE 03__nakula]",Politik,5,bawaslu sama warga garaã â ² spanduk ganjar mahfud sementara spanduk capres lain tidak dicopot bawaslu rasa tim sukses ã âÿâ âª HTTPURL
